t,x1,y1,x2,y2,x3,y3
0.50,-0.23793171531293955123,-0.98313943052471064465,-0.73301576137637614039,0.69428828663604136295,0.96722127772869193052,0.28432978895498628447
0.52,-0.25695143694183686378,-0.98131172389250520549,-0.72199044087931585345,0.70958290805548651647,0.97488676747912328402,0.26687118324195874264
0.54,-0.27591175219719243916,-0.97923897276639593201,-0.71078758816187781466,0.72469461522785683094,0.98230010338505535650,0.24934134266814206304
0.56,-0.29480842522221273327,-0.97692369266680934015,-0.69941163814549944799,0.73962114187437344448,0.98946140176376440323,0.23174538544815220797
0.58,-0.31363729373698318037,-0.97436852785030492186,-0.68786709617823604823,0.75436035404385581860,0.99637093301860257810,0.21408842886413192996
0.60,-0.33239426903846996941,-0.97157625130957503412,-0.67615853803475933770,0.76891025011272517986,1.00302912163899837772,0.19637558926574844032
0.62,-0.35107533600052059919,-0.96854976477344545405,-0.66429060991635768829,0.78326896078500318765,1.00943654620045752957,0.17861198207019479689
0.64,-0.36967683685737590116,-0.96529163656722061226,-0.65226748023744751670,0.79743474262885605253,1.01559366575735254834,0.16080222906974805941
0.66,-0.38819537728585645775,-0.96180455917433438362,-0.64009328156200584470,0.81140614444338421407,1.02150118617149265887,0.14295077689773055818
0.68,-0.40662747440361457496,-0.95809172688447841182,-0.62777262333904204628,0.82518190983066830313,1.02716022242305160539,0.12506240837486787276
0.70,-0.42496975452467017353,-0.95415634701610807511,-0.61531006728878745449,0.83876088280073268777,1.03257195699747827966,0.10714181411031291347
0.72,-0.44321895315941084448,-0.95000163991644237527,-0.60271012740269580554,0.85214200777154514022,1.03773763988549760917,0.08919359250164600461
0.74,-0.46137191501459212661,-0.94563083896146404861,-0.58997726994344235063,0.86532432956901716992,1.04265858858310944690,0.07122224973487459310
0.76,-0.47942559399333706249,-0.94104719055591967702,-0.57711591344492485511,0.87830699342700391252,1.04733618809158879337,0.05323219978443377576
0.78,-0.49737705319513625390,-0.93625395413331924388,-0.56413042871226315444,0.89108924498730401886,1.05177189091748646277,0.03522776441318592466
0.80,-0.51522346491584825046,-0.93125440215593657811,-0.55102513882179893212,0.90367043029965987699,1.05596721707262819479,0.01721317317242079814
0.82,-0.53296211064769938304,-0.92605182011480935422,-0.53780431912109616377,0.91604999582175739015,1.05992375407411576482,-0.00080743659814466739
0.84,-0.55059038107928326422,-0.92064950652973875922,-0.52447219722894089511,0.92822748841922608776,1.06364315694432542969,-0.01883001977036583008
0.86,-0.56810577609556156542,-0.91505077294928971465,-0.51103295303534113092,0.94020255536563923648,1.06712714821090925987,-0.03685062342767103649
0.88,-0.58550590477786357280,-0.90925894395079076560,-0.49749071870152705710,0.95197494434251361817,1.07037751790679491748,-0.05486538686506098328
0.90,-0.60278848540388629829,-0.90327735714033430270,-0.48384957865995092963,0.96354450343930952982,1.07339612357018499011,-0.07287054158910938328
0.92,-0.61995134544769436857,-0.89710936315277645114,-0.47011356961428696355,0.97491118115343111672,1.07618489024455765701,-0.09086241131796213288
0.94,-0.63699242157972035816,-0.89075832565173673760,-0.45628668053943177707,0.98607502639022581725,1.07874581047866646699,-0.10883741198133811690
0.96,-0.65390975966676401221,-0.88422762132959864534,-0.44237285268150400297,0.99703618846298502909,1.08108094432654011641,-0.12679205172052854245
0.98,-0.67070151477199357881,-0.87752063990750939215,-0.42837597955784390003,1.00779491709294366508,1.08319241934748311529,-0.14472293088839766062
1.00,-0.68736595115494369956,-0.87064078413537981938,-0.41429990695701446324,1.01835156240927982019,1.08508243060607445507,-0.16262674204938171174
1.02,-0.70390144227151885126,-0.86359146979188416982,-0.40014843293879998054,1.02870657494911621477,1.08675324067216960700,-0.18050026997949070173
